status,venue_type,venue,city,region,category,price_low,price_high,price_per_guest_low,price_per_guest_high,price_basis,bar_included,confidence,notes,source_urls,date_sourced
Baseline,All-Inclusive Package,Coyote Hills Golf Course,Fullerton,Orange County,Golf Course,22797,22797,228,228,100 guests,Added (2-hr Premium),Confirmed,"$18k Inclusive Package + 2-hr Premium hosted bar, 100 guests. Own brochure, full detail. This is the number every row is measured against.",,2026-08-28
Sourced,All-Inclusive Package,Wedgewood Weddings - Premier (Sierra La Verne / Sterling Hills),La Verne / Camarillo,Inland Empire / Ventura,All-Inclusive Chain,9900,9900,99,99,100 guests,Included (well spirits),Medium,"Cheapest full-package option found. Open bar bundled in. Confirm exact venue + tax/service inclusion on tour.",,2026-08-28
Sourced,All-Inclusive Package,Mile Square Golf Course - Gold,Fountain Valley,Orange County,Golf Course,10095,13995,101,140,100 guests,Unconfirmed,Medium,"Closest category match to Coyote Hills. Package literally titled 'with Bar' - may already include hosted bar. Some pricing dated to 2022, confirm current rate.",,2026-08-28
Sourced,All-Inclusive Package,The Orchard by Wedgewood Weddings,Menifee,Inland Empire,All-Inclusive Chain / Garden,6415,6415,,,starting fee - not confirmed at 100 guests,Unconfirmed,Low,"Cheapest starting price found in whole search, but $6,415 is a package floor, not confirmed at 100 guests. Needs a real quote before comparing directly to baseline.",,2026-08-28
Sourced,All-Inclusive Package,Rio Hondo by Wedgewood Weddings,Downey,LA County,All-Inclusive Chain / Garden,7140,40440,66,,wide quoted range - off-peak start $66/pp,Unconfirmed,Low,"Wide quoted range ($7,140-$40,440) depending on package/date/guest count. Needs a direct quote to pin down a 100-guest figure.",,2026-08-28
Sourced,All-Inclusive Package,University Club by Wedgewood Weddings,Irvine,Orange County,All-Inclusive Chain / Clubhouse,9740,9740,79,144,starting fee; pp range across tiers,Unconfirmed,Medium,"Rental fee $595-$3,495 + $1,495 ceremony setup on top of per-person food/bar. Off-peak vs. peak swings pricing significantly - ask for both.",,2026-08-28
Sourced,All-Inclusive Package,Strawberry Farms Golf Club,Irvine,Orange County,Golf Course,20171,20171,202,202,confirmed @ 100 guests,Likely included (all-inclusive Barn package),Medium,"Real guest-count pricing table found (50/75/100/125 gs.). Only books one wedding per day. Close in price to Coyote Hills baseline - worth touring as a like-for-like golf course option.",,2026-08-28
Sourced,All-Inclusive Package,Talega Golf Club,San Clemente,Orange County,Golf Course,10000,10000,,,starting fee - not confirmed at 100 guests,Included (per venue copy),Low,"Package copy claims hosted bar, appetizers, salad, entree, cake all included. Starting figure only - not broken out per guest. Needs a direct 100-guest quote.",,2026-08-28
Sourced,All-Inclusive Package,Summit House Weddings - Windsor,Fullerton,Orange County,Estate / Manor,18200,22386,182,224,100 guests,Included,Medium,"Same city as Coyote Hills - easy to tour both same day. Tax/service confirmed only on their priciest bundle, not Windsor specifically.",,2026-08-28
Sourced,All-Inclusive Package,The Farm in Norco,Norco,Inland Empire,Farm / Rustic,20800,24700,208,247,100 guests,Unconfirmed,Low,"Flat ~$20,800 package floor regardless of guest count 50-200 - won't get cheaper by trimming headcount. Thinnest data set of the fully-sourced all-inclusive venues.",,2026-08-28
